Full Sample,Selected Sample,Bounds,Sample Size
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,False,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
False,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
False,False,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
False,False,False,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
False,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,False,True,829
True,True,True,829
True,True,True,829
True,True,True,829
True,True,True,829
